n,city,country,status,building,landmark,moved_m,area_m2,old_lat,old_lon,new_lat,new_lon,osm,map
433,Linz,Austria,snapped,Linzer Schloss (castle),yes,298,4155,48.3069,14.2858,48.305602,14.282283,https://www.openstreetmap.org/way/14039464,"https://www.google.com/maps/@48.305602,14.282283,200m/data=!3m1!1e3"
434,Klagenfurt,Austria,snapped,Landhaus (public),yes,50,1929,46.6247,14.3053,46.624883,14.305894,https://www.openstreetmap.org/way/43596350,"https://www.google.com/maps/@46.624883,14.305894,200m/data=!3m1!1e3"
435,Villach,Austria,kept,Landespolizeidirektion Kärnten - PK Villach (police),,0,3509,46.6103,13.8558,46.6103,13.8558,https://www.openstreetmap.org/way/144545775,"https://www.google.com/maps/@46.6103,13.8558,200m/data=!3m1!1e3"
436,Wels,Austria,kept,"unnamed building, 343 m²",,0,343,48.1575,14.0289,48.1575,14.0289,https://www.openstreetmap.org/way/200393820,"https://www.google.com/maps/@48.1575,14.0289,200m/data=!3m1!1e3"
437,Sankt Pölten,Austria,snapped,NV-Center (public),yes,167,1863,48.2035,15.6256,48.204971,15.625135,https://www.openstreetmap.org/way/156380946,"https://www.google.com/maps/@48.204971,15.625135,200m/data=!3m1!1e3"
438,Eisenstadt,Austria,snapped,Kultur Kongress Zentrum (civic),yes,362,3548,47.8457,16.5233,47.847096,16.527670,https://www.openstreetmap.org/way/30344166,"https://www.google.com/maps/@47.847096,16.527670,200m/data=!3m1!1e3"
439,Bern,Switzerland,snapped,Bundeshaus – Parlamentsgebäude (government),yes,292,3816,46.948,7.4474,46.946504,7.444240,https://www.openstreetmap.org/way/254958900,"https://www.google.com/maps/@46.946504,7.444240,200m/data=!3m1!1e3"
440,Lausanne,Switzerland,snapped,Haute école de musique de Lausanne et Conservatoire de Lausanne (college),yes,128,2309,46.5197,6.6323,46.518713,6.633148,https://www.openstreetmap.org/way/44505081,"https://www.google.com/maps/@46.518713,6.633148,200m/data=!3m1!1e3"
441,Lucerne,Switzerland,snapped,KKL (Kultur- und Kongresszentrum Luzern) (arts centre),yes,214,8070,47.0502,8.3093,47.050340,8.312115,https://www.openstreetmap.org/way/388651008,"https://www.google.com/maps/@47.050340,8.312115,200m/data=!3m1!1e3"
442,Lugano,Switzerland,snapped,Cattedrale di San Lorenzo (church),yes,219,1086,46.0037,8.9511,46.004595,8.948579,https://www.openstreetmap.org/way/156471728,"https://www.google.com/maps/@46.004595,8.948579,200m/data=!3m1!1e3"
443,Winterthur,Switzerland,snapped,Zentrum Neuwiesen (apartments),,249,9168,47.4988,8.7241,47.499230,8.720852,https://www.openstreetmap.org/way/22529562,"https://www.google.com/maps/@47.499230,8.720852,200m/data=!3m1!1e3"
444,St. Gallen,Switzerland,snapped,Stiftskirche (cathedral),yes,151,3754,47.4245,9.3767,47.423144,9.376721,https://www.openstreetmap.org/way/131605938,"https://www.google.com/maps/@47.423144,9.376721,200m/data=!3m1!1e3"
445,Fribourg,Switzerland,snapped,Cathédrale Saint-Nicolas / Kathedrale Sankt Niklaus (cathedral),yes,104,2131,46.8065,7.1619,46.806158,7.163176,https://www.openstreetmap.org/way/44369978,"https://www.google.com/maps/@46.806158,7.163176,200m/data=!3m1!1e3"
446,Neuchâtel,Switzerland,snapped,Château de Neuchâtel (public),yes,344,3001,46.9896,6.9293,46.992226,6.926923,https://www.openstreetmap.org/way/31565585,"https://www.google.com/maps/@46.992226,6.926923,200m/data=!3m1!1e3"
447,Gdańsk,Poland,snapped,Teatr Wybrzeże (theatre),yes,156,2193,54.352,18.6466,54.351275,18.648662,https://www.openstreetmap.org/way/60064088,"https://www.google.com/maps/@54.351275,18.648662,200m/data=!3m1!1e3"
448,Gdynia,Poland,snapped,Dworzec PKP Gdynia Główna (train station),yes,272,3507,54.5189,18.5305,54.521321,18.529901,https://www.openstreetmap.org/way/97222145,"https://www.google.com/maps/@54.521321,18.529901,200m/data=!3m1!1e3"
449,Sopot,Poland,snapped,Sopot Centrum (public),yes,135,2635,54.4416,18.5601,54.441549,18.562184,https://www.openstreetmap.org/way/1061195905,"https://www.google.com/maps/@54.441549,18.562184,200m/data=!3m1!1e3"
450,Poznań,Poland,snapped,Muzeum Narodowe (civic),yes,400,6833,52.4064,16.9252,52.408526,16.929945,https://www.openstreetmap.org/way/35276947,"https://www.google.com/maps/@52.408526,16.929945,200m/data=!3m1!1e3"
451,Łódź,Poland,snapped,Sąd Rejonowy dla Łodzi-Śródmieścia w Łodzi (public),yes,241,1439,51.7592,19.456,51.757040,19.455850,https://www.openstreetmap.org/way/104511738,"https://www.google.com/maps/@51.757040,19.455850,200m/data=!3m1!1e3"
452,Szczecin,Poland,snapped,Kaskada (retail),,164,20902,53.4285,14.5528,53.428254,14.550364,https://www.openstreetmap.org/way/35319011,"https://www.google.com/maps/@53.428254,14.550364,200m/data=!3m1!1e3"
453,Bydgoszcz,Poland,snapped,Pałac Młodzieży (community centre),yes,203,2602,53.1235,18.0084,53.123620,18.011430,https://www.openstreetmap.org/way/46236346,"https://www.google.com/maps/@53.123620,18.011430,200m/data=!3m1!1e3"
454,Toruń,Poland,snapped,Cinema City (retail),yes,151,5095,53.016,18.5984,53.015213,18.600242,https://www.openstreetmap.org/way/49906179,"https://www.google.com/maps/@53.015213,18.600242,200m/data=!3m1!1e3"
455,Lublin,Poland,snapped,Archikatedra Świętego Jana Chrzciciela i Świętego Jana Ewangelisty (church),yes,34,1972,51.2465,22.5684,51.246728,22.568723,https://www.openstreetmap.org/way/66286341,"https://www.google.com/maps/@51.246728,22.568723,200m/data=!3m1!1e3"
456,Katowice,Poland,snapped,Międzynarodowe Centrum Kongresowe (conference centre),yes,302,21207,50.2649,19.0238,50.266137,19.027573,https://www.openstreetmap.org/way/332311304,"https://www.google.com/maps/@50.266137,19.027573,200m/data=!3m1!1e3"
457,Rzeszów,Poland,snapped,Galeria Rzeszów (retail),,167,20900,50.0412,21.9991,50.042454,21.997810,https://www.openstreetmap.org/way/214233129,"https://www.google.com/maps/@50.042454,21.997810,200m/data=!3m1!1e3"
458,Białystok,Poland,snapped,Pałac Branickich (attraction),yes,312,3963,53.1325,23.1688,53.130685,23.165235,https://www.openstreetmap.org/way/242871669,"https://www.google.com/maps/@53.130685,23.165235,200m/data=!3m1!1e3"
459,Kielce,Poland,snapped,Wojewódzki Dom Kultury (civic),yes,338,2504,50.8661,20.6286,50.863249,20.626956,https://www.openstreetmap.org/way/134572547,"https://www.google.com/maps/@50.863249,20.626956,200m/data=!3m1!1e3"
460,Opole,Poland,snapped,Kaufland (retail),,243,6024,50.6751,17.9213,50.676579,17.918768,https://www.openstreetmap.org/way/207030953,"https://www.google.com/maps/@50.676579,17.918768,200m/data=!3m1!1e3"
461,Olsztyn,Poland,snapped,Aura Centrum Olsztyna (retail),,236,15744,53.7784,20.4801,53.777101,20.482934,https://www.openstreetmap.org/way/104358824,"https://www.google.com/maps/@53.777101,20.482934,200m/data=!3m1!1e3"
462,Brno,Czechia,snapped,Stará radnice (civic),yes,252,2024,49.1951,16.6068,49.193043,16.608259,https://www.openstreetmap.org/way/50002035,"https://www.google.com/maps/@49.193043,16.608259,200m/data=!3m1!1e3"
463,Ostrava,Czechia,snapped,"unnamed industrial, 30,913 m²",,389,30913,49.8209,18.2625,49.819512,18.267466,https://www.openstreetmap.org/way/77402744,"https://www.google.com/maps/@49.819512,18.267466,200m/data=!3m1!1e3"
464,Plzeň,Czechia,snapped,LOGSPEED CZ Aréna (civic),yes,336,6162,49.7384,13.3736,49.736763,13.377522,https://www.openstreetmap.org/way/385215687,"https://www.google.com/maps/@49.736763,13.377522,200m/data=!3m1!1e3"
465,Liberec,Czechia,snapped,OD Forum Liberec (retail),,95,21305,50.7663,15.0543,50.765788,15.055381,https://www.openstreetmap.org/way/197991615,"https://www.google.com/maps/@50.765788,15.055381,200m/data=!3m1!1e3"
466,Pardubice,Czechia,snapped,"unnamed civic, 4,192 m²",yes,107,4192,50.0343,15.7812,50.033767,15.782453,https://www.openstreetmap.org/way/37014900,"https://www.google.com/maps/@50.033767,15.782453,200m/data=!3m1!1e3"
467,Zlín,Czechia,snapped,Dům kultury - Areál Svit budova 2 (community centre),yes,155,3029,49.2244,17.6628,49.224335,17.660675,https://www.openstreetmap.org/way/71289004,"https://www.google.com/maps/@49.224335,17.660675,200m/data=!3m1!1e3"
