n,city,country,continent,anchor,lat,lon,terrain_m,poi_alt_m,gnd_radius_m,gnd_height_m,orig_lat,orig_lon,snap_building,snap_dist_m,snap_area_m2,snap_landmark,snap_osm,snap_status
435,Villach,Austria,Europe,Innenstadt,46.6103,13.8558,494.0,521.0,,,46.6103,13.8558,Landespolizeidirektion Kärnten - PK Villach (police),0,3509,,way/144545775,kept
436,Wels,Austria,Europe,Stadtzentrum,48.1575,14.0289,315.0,342.0,,,48.1575,14.0289,"unnamed building, 343 m²",0,343,,way/200393820,kept
437,Sankt Pölten,Austria,Europe,NV-Center,48.204971,15.625135,278.0,305.0,,,48.2035,15.6256,NV-Center (public),167,1863,yes,way/156380946,snapped
438,Eisenstadt,Austria,Europe,Kultur Kongress Zentrum,47.847096,16.527670,175.0,202.0,,,47.8457,16.5233,Kultur Kongress Zentrum (civic),362,3548,yes,way/30344166,snapped
439,Bern,Switzerland,Europe,Bundeshaus – Parlamentsgebäude,46.946504,7.444240,553.0,580.0,,,46.948,7.4474,Bundeshaus – Parlamentsgebäude (government),292,3816,yes,way/254958900,snapped
440,Lausanne,Switzerland,Europe,Haute école de musique de Lausanne et Conservatoire de Lausanne,46.518713,6.633148,496.0,523.0,,,46.5197,6.6323,Haute école de musique de Lausanne et Conservatoire de Lausanne (college),128,2309,yes,way/44505081,snapped
441,Lucerne,Switzerland,Europe,KKL (Kultur- und Kongresszentrum Luzern),47.050340,8.312115,444.0,471.0,,,47.0502,8.3093,KKL (Kultur- und Kongresszentrum Luzern) (arts centre),214,8070,yes,way/388651008,snapped
442,Lugano,Switzerland,Europe,Cattedrale di San Lorenzo,46.004595,8.948579,311.0,338.0,,,46.0037,8.9511,Cattedrale di San Lorenzo (church),219,1086,yes,way/156471728,snapped
443,Winterthur,Switzerland,Europe,Zentrum Neuwiesen,47.499230,8.720852,448.0,475.0,,,47.4988,8.7241,Zentrum Neuwiesen (apartments),249,9168,,way/22529562,snapped
444,St. Gallen,Switzerland,Europe,Stiftskirche,47.423144,9.376721,686.0,713.0,,,47.4245,9.3767,Stiftskirche (cathedral),151,3754,yes,way/131605938,snapped
445,Fribourg,Switzerland,Europe,Cathédrale Saint-Nicolas / Kathedrale Sankt Niklaus,46.806158,7.163176,600.0,627.0,,,46.8065,7.1619,Cathédrale Saint-Nicolas / Kathedrale Sankt Niklaus (cathedral),104,2131,yes,way/44369978,snapped
446,Neuchâtel,Switzerland,Europe,Château de Neuchâtel,46.992226,6.926923,463.0,490.0,,,46.9896,6.9293,Château de Neuchâtel (public),344,3001,yes,way/31565585,snapped
447,Gdańsk,Poland,Europe,Teatr Wybrzeże,54.351275,18.648662,9.0,36.0,,,54.352,18.6466,Teatr Wybrzeże (theatre),156,2193,yes,way/60064088,snapped
448,Gdynia,Poland,Europe,Dworzec PKP Gdynia Główna,54.521321,18.529901,14.0,41.0,,,54.5189,18.5305,Dworzec PKP Gdynia Główna (train station),272,3507,yes,way/97222145,snapped
449,Sopot,Poland,Europe,Sopot Centrum,54.441549,18.562184,16.0,43.0,,,54.4416,18.5601,Sopot Centrum (public),135,2635,yes,way/1061195905,snapped
450,Poznań,Poland,Europe,Muzeum Narodowe,52.408526,16.929945,73.0,100.0,,,52.4064,16.9252,Muzeum Narodowe (civic),400,6833,yes,way/35276947,snapped
