n,city,country,status,building,landmark,moved_m,area_m2,old_lat,old_lon,new_lat,new_lon,osm,map
353,L'Hospitalet de Llobregat,Spain,snapped,"unnamed stadium, 6,150 m²",yes,388,6150,41.35,2.1,41.346708,2.101536,https://www.openstreetmap.org/way/733891114,"https://www.google.com/maps/@41.346708,2.101536,200m/data=!3m1!1e3"
354,Las Palmas de Gran Canaria,Spain,kept,Catedral de Santa Ana (cathedral),yes,0,3633,28.1011,-15.4146,28.1011,-15.4146,https://www.openstreetmap.org/way/38062745,"https://www.google.com/maps/@28.1011,-15.4146,200m/data=!3m1!1e3"
355,Amadora,Portugal,snapped,"unnamed building, 5,010 m²",,42,5010,38.75,-9.2167,38.750256,-9.217056,https://www.openstreetmap.org/way/768600410,"https://www.google.com/maps/@38.750256,-9.217056,200m/data=!3m1!1e3"
356,Barreiro,Portugal,snapped,Piscina Municipal do Barreiro (building),,375,1219,38.6667,-9.0833,38.663338,-9.083020,https://www.openstreetmap.org/way/1540990486,"https://www.google.com/maps/@38.663338,-9.083020,200m/data=!3m1!1e3"
357,Vila Nova de Gaia,Portugal,snapped,Cenáculo do Espírito Santo (place of worship),yes,348,3054,41.1238,-8.6118,41.122869,-8.607840,https://www.openstreetmap.org/way/485232275,"https://www.google.com/maps/@41.122869,-8.607840,200m/data=!3m1!1e3"
358,Sosnowiec,Poland,snapped,"unnamed service, 885 m²",,395,885,50.2667,19.1167,50.268843,19.121122,https://www.openstreetmap.org/way/193163625,"https://www.google.com/maps/@50.268843,19.121122,200m/data=!3m1!1e3"
359,Olomouc,Czechia,snapped,sv. Mořic (church),yes,119,1976,49.5941,17.2509,49.595134,17.251341,https://www.openstreetmap.org/way/23344425,"https://www.google.com/maps/@49.595134,17.251341,200m/data=!3m1!1e3"
360,Bradford,United Kingdom,snapped,LIFE Church UK (place of worship),yes,332,2853,53.8,-1.75,53.799984,-1.744949,https://www.openstreetmap.org/way/201348458,"https://www.google.com/maps/@53.799984,-1.744949,200m/data=!3m1!1e3"
361,Abu Dhabi,United Arab Emirates,snapped,قصر الحصن (civic),yes,266,8836,24.4823,54.3548,24.482796,54.357364,https://www.openstreetmap.org/way/397390538,"https://www.google.com/maps/@24.482796,54.357364,200m/data=!3m1!1e3"
362,Amman,Jordan,snapped,Husseini Mosque (place of worship),yes,135,1844,31.95,35.9333,31.949667,35.934669,https://www.openstreetmap.org/way/178938551,"https://www.google.com/maps/@31.949667,35.934669,200m/data=!3m1!1e3"
363,Bandar Seri Begawan,Brunei,snapped,Masjid Rashidah Sa'adatul Bolkiah (mosque),yes,227,1813,4.9333,114.9667,4.935297,114.967131,https://www.openstreetmap.org/way/512473353,"https://www.google.com/maps/@4.935297,114.967131,200m/data=!3m1!1e3"
364,Be'er Sheva,Israel,snapped,"unnamed building, 3,090 m²",,62,3090,31.25,34.7833,31.249772,34.782711,https://www.openstreetmap.org/way/319163005,"https://www.google.com/maps/@31.249772,34.782711,200m/data=!3m1!1e3"
365,Beirut,Lebanon,snapped,"unnamed mosque, 565 m²",yes,198,565,33.8833,35.5,33.885069,35.499798,https://www.openstreetmap.org/way/547932117,"https://www.google.com/maps/@33.885069,35.499798,200m/data=!3m1!1e3"
366,Bnei Brak,Israel,snapped,מרכז גריאטרי גיל עוז (social facility),,202,2153,32.0833,34.8667,32.084014,34.864731,https://www.openstreetmap.org/way/209972745,"https://www.google.com/maps/@32.084014,34.864731,200m/data=!3m1!1e3"
367,Chattogram,Bangladesh,snapped,"unnamed building, 585 m²",,83,585,22.3333,91.8,22.332765,91.799439,https://www.openstreetmap.org/way/513775728,"https://www.google.com/maps/@22.332765,91.799439,200m/data=!3m1!1e3"
368,Colombo,Sri Lanka,snapped,Colombo Fort (train station),yes,48,1073,6.9333,79.85,6.933727,79.850080,https://www.openstreetmap.org/way/232514810,"https://www.google.com/maps/@6.933727,79.850080,200m/data=!3m1!1e3"
369,Da Nang,Vietnam,snapped,"unnamed building, 3,573 m²",,326,3573,16.0667,108.2333,16.064828,108.230956,https://www.openstreetmap.org/way/1558455141,"https://www.google.com/maps/@16.064828,108.230956,200m/data=!3m1!1e3"
