n,city,country,continent,anchor,lat,lon,terrain_m,poi_alt_m,orig_lat,orig_lon,snap_building,snap_dist_m,snap_area_m2,snap_landmark,snap_osm,snap_status,anchor_source
350,Osijek,Croatia,Europe,Osijek City Center,45.55,18.6833,86.0,113.0,45.55,18.6833,"unnamed house, 7,640 m²",0,7640,,way/555758622,kept,pdf
351,Košice,Slovakia,Europe,Stavebná fakulta TUKE,48.734314,21.245110,215.0,242.0,48.7333,21.25,Stavebná fakulta TUKE (university),376,3438,yes,way/170007143,snapped,pdf
352,Apeldoorn,Netherlands,Europe,Apeldoorn City Center,52.219678,5.952873,23.0,50.0,52.2167,5.95,"unnamed civic, 7,374 m²",385,7374,yes,way/263025973,snapped,pdf
353,L'Hospitalet de Llobregat,Spain,Europe,L'Hospitalet de Llobregat City Center,41.346708,2.101536,17.0,44.0,41.35,2.1,"unnamed stadium, 6,150 m²",388,6150,yes,way/733891114,snapped,pdf
354,Las Palmas de Gran Canaria,Spain,Europe,Catedral de Santa Ana (Vegueta),28.1011,-15.4146,24.0,51.0,28.1011,-15.4146,Catedral de Santa Ana (cathedral),0,3633,yes,way/38062745,kept,handpicked
355,Amadora,Portugal,Europe,Amadora City Center,38.750256,-9.217056,99.0,126.0,38.75,-9.2167,"unnamed building, 5,010 m²",42,5010,,way/768600410,snapped,pdf
356,Barreiro,Portugal,Europe,Piscina Municipal do Barreiro,38.663338,-9.083020,1.0,28.0,38.6667,-9.0833,Piscina Municipal do Barreiro (building),375,1219,,way/1540990486,snapped,pdf
357,Vila Nova de Gaia,Portugal,Europe,Cenáculo do Espírito Santo,41.122869,-8.607840,116.0,143.0,41.1238,-8.6118,Cenáculo do Espírito Santo (place of worship),348,3054,yes,way/485232275,snapped,handpicked
358,Sosnowiec,Poland,Europe,Sosnowiec City Center,50.268843,19.121122,253.0,280.0,50.2667,19.1167,"unnamed service, 885 m²",395,885,,way/193163625,snapped,pdf
359,Olomouc,Czechia,Europe,sv. Mořic,49.595134,17.251341,227.0,254.0,49.5941,17.2509,sv. Mořic (church),119,1976,yes,way/23344425,snapped,handpicked
360,Bradford,United Kingdom,Europe,LIFE Church UK,53.799984,-1.744949,131.0,158.0,53.8,-1.75,LIFE Church UK (place of worship),332,2853,yes,way/201348458,snapped,pdf
361,Abu Dhabi,United Arab Emirates,Asia,قصر الحصن,24.482796,54.357364,13.0,40.0,24.4823,54.3548,قصر الحصن (civic),266,8836,yes,way/397390538,snapped,handpicked
362,Amman,Jordan,Asia,Husseini Mosque,31.949667,35.934669,761.0,788.0,31.95,35.9333,Husseini Mosque (place of worship),135,1844,yes,way/178938551,snapped,pdf
363,Bandar Seri Begawan,Brunei,Asia,Masjid Rashidah Sa'adatul Bolkiah,4.935297,114.967131,55.0,82.0,4.9333,114.9667,Masjid Rashidah Sa'adatul Bolkiah (mosque),227,1813,yes,way/512473353,snapped,pdf
364,Be'er Sheva,Israel,Asia,Be'er Sheva City Center,31.249772,34.782711,282.0,309.0,31.25,34.7833,"unnamed building, 3,090 m²",62,3090,,way/319163005,snapped,pdf
365,Beirut,Lebanon,Asia,Beirut City Center,33.885069,35.499798,100.0,127.0,33.8833,35.5,"unnamed mosque, 565 m²",198,565,yes,way/547932117,snapped,pdf
366,Bnei Brak,Israel,Asia,מרכז גריאטרי גיל עוז,32.084014,34.864731,41.0,68.0,32.0833,34.8667,מרכז גריאטרי גיל עוז (social facility),202,2153,,way/209972745,snapped,pdf
367,Chattogram,Bangladesh,Asia,Chattogram City Center,22.332765,91.799439,6.0,33.0,22.3333,91.8,"unnamed building, 585 m²",83,585,,way/513775728,snapped,pdf
368,Colombo,Sri Lanka,Asia,Colombo Fort,6.933727,79.850080,12.0,39.0,6.9333,79.85,Colombo Fort (train station),48,1073,yes,way/232514810,snapped,pdf
369,Da Nang,Vietnam,Asia,Da Nang City Center,16.064828,108.230956,4.0,31.0,16.0667,108.2333,"unnamed building, 3,573 m²",326,3573,,way/1558455141,snapped,pdf
370,Dehiwala,Sri Lanka,Asia,Dehiwala Jummah Masjid,6.864181,79.865942,13.0,40.0,6.8667,79.8667,Dehiwala Jummah Masjid (building),293,1460,,way/609212779,snapped,pdf
371,Dhaka,Bangladesh,Asia,Dhaka City Center,23.7167,90.4167,17.0,44.0,23.7167,90.4167,Babuly Rose Villa (apartments),0,616,,way/441227069,kept,pdf
372,Faisalabad,Pakistan,Asia,Clock Tower (Ghanta Ghar),31.415984,73.081960,186.0,213.0,31.4185,73.0791,"unnamed building, 4,756 m²",390,4756,,way/1385756073,snapped,handpicked
373,Galle,Sri Lanka,Asia,Galle town centre (north of the Fort),6.0330,80.2155,8.0,35.0,6.0330,80.2155,"unnamed transportation, 2,439 m²",0,2439,,way/137308920,kept,handpicked
374,Gujranwala,Pakistan,Asia,PTCL Exchange,32.161995,74.188033,231.0,258.0,32.1600,74.1880,PTCL Exchange (commercial),222,1532,,way/287517984,snapped,handpicked
375,Haifa,Israel,Asia,Haifa City Center,32.8167,34.9833,129.0,156.0,32.8167,34.9833,"unnamed building, 330 m²",0,330,,way/179243044,kept,pdf
376,Haiphong,Vietnam,Asia,Tòa án nhân dân khu vực 5 - Hải Phòng,20.831021,106.680618,9.0,36.0,20.8333,106.6833,Tòa án nhân dân khu vực 5 - Hải Phòng (courthouse),377,5433,yes,way/1189415115,snapped,pdf
377,Hanoi,Vietnam,Asia,Nhà hát Hồng Hà,21.031524,105.847248,19.0,46.0,21.0333,105.85,Nhà hát Hồng Hà (theatre),348,838,yes,way/700853373,snapped,pdf
378,Ho Chi Minh City,Vietnam,Asia,Chung Cư Felisa Riverside,10.749351,106.666103,6.0,33.0,10.75,106.6667,Chung Cư Felisa Riverside (apartments),97,3159,,way/1389992942,snapped,pdf
379,Holon,Israel,Asia,בית הכנסת,32.031480,34.783174,34.0,61.0,32.0333,34.7833,בית הכנסת (place of worship),203,474,yes,way/663504618,snapped,pdf
380,Hyderabad,Pakistan,Asia,Pakka Qila / Shahi Bazaar,25.3920,68.3740,40.0,67.0,25.3920,68.3740,,0,,,,handpicked,handpicked
381,Irbid,Jordan,Asia,Irbid City Center,32.551302,35.850541,567.0,594.0,32.55,35.85,"unnamed building, 1,987 m²",154,1987,,way/1338613552,snapped,pdf
382,Islamabad,Pakistan,Asia,Blue Area / Jinnah Avenue,33.708861,73.058616,551.0,578.0,33.7110,73.0600,"unnamed place of worship, 1,034 m²",270,1034,yes,way/1425522904,snapped,handpicked
383,Jaffna,Sri Lanka,Asia,Jaffna City Center,9.665710,80.015023,7.0,34.0,9.6667,80.0167,"unnamed building, 2,839 m²",215,2839,,way/571493796,snapped,pdf
384,Jerusalem,Israel,Asia,Jerusalem City Center,31.7833,35.2167,801.0,828.0,31.7833,35.2167,"unnamed building, 852 m²",0,852,,way/160373398,kept,pdf
385,Kandy,Sri Lanka,Asia,Kandy City Center,7.281643,80.669486,473.0,500.0,7.2833,80.6667,"unnamed apartments, 2,845 m²",359,2845,,way/221352787,snapped,pdf
386,Karachi,Pakistan,Asia,Dar-us-Salaam,24.866975,67.048909,32.0,59.0,24.8667,67.05,Dar-us-Salaam (place of worship),114,843,yes,way/783741231,snapped,pdf
387,Kathmandu,Nepal,Asia,Kathmandu City Center,27.702670,85.334971,1304.0,1331.0,27.7,85.3333,"unnamed house, 577 m²",340,577,,way/341368762,snapped,pdf
388,Kuwait City,Kuwait,Asia,Kuwait City City Center,29.3333,47.9833,20.0,47.0,29.3333,47.9833,,0,,,,handpicked,handpicked
